id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
fN3HwF-H2cjFqKTFKzVwdI_Dti6s1-F0VItvl_HJIKU7Yw,25hQJKGx7U9zvSKEW9Oy61MXOF-_JUB0yYRcregXmh_0jxA,907TX3ji-JNb3NFS2m0hq0SBc4t0MFIuR0zG_nN-MAe1KY415e8GNgslVgdaBMXvfmFzLh5m7SvsiA,DIMI CHEERLEADER,3152,1665373919000,574
cpuvfpOwz3hwkA3eLvYg3opyVK9HvCSeRto5b3lAypC9Lg,K_t1CG_0G2PDtTYbAQsuM7VOKig08YP3Nuth6_mHT7RtkOg,ycOnsXgi9qaISMpIthPzqHNgzcMm-06EnjR_bRMskxCNYZpg6DcD6ILJFp874l-d1EiNo9_GcDindg,seixon o tal,4763,1664925545000,489
ur4ztwGXXFIKNvfwgnAR91kPooxHOMNQF9YD1I9Ogmi7Qa0,cNeIdFADyYa6814BcxY5dZChU62EU4H6Rxhvv2KRWxnoAeY,VML4iXC3kfiKfsdvScvhIIbozakIIWHtPycuDuFJKY0FR_WnWwmBc7E64qB9_LrzfkvXC5fsGjPWOA,Tar2an,8,1664989875125,303
2cwshbyA2Q25Qt9L27_HtkIp9z8gNL1yKCPL2Pawdw_NMME,CYqPrEdAzT4wNDD1jFpaLdb_EppHvBQ4zUVJtqBQsTRJE1wq0Jv-NGlt,e25agtLewVaTlQJELhyu2Dam6Mhxm_HVzPzz-AeQdk57yBPAR7Z9etUI6DX8xlvrq3OHXMGxPWVGxA,TuruPaoComTrigo,4626,1665557458000,631
MNl05HbbjRB-LIa329JiNrGw5ZRXP19t-RBy3galp6SfDeA,G37kyfuAyUjSZhpOthLUoU2wUUQgbr5OFOHmkQGnrMors630QgGbNxfB,Cogvp72JnclOnoSc_f1h1MlqeNxNC08fOJRzt0f1H4RM-I1C7rVjKVmCH0L_nRBWbuy_S34CWM1Dhg,paiN brTT RXRXRX,5026,1665154930000,258
f6Rm4sZOFx8p8XY4Nov3IMU82yKConWoxWk9ZYgrBjivdA,By07tc07assNMIrcTpa7in1wxOYjdL--8OqMsXHaJN-xgUc,p-uMPgTVxiy0Tvi2xTS_w3WSkZii8u89pG6VMUYFMyBgaVf0S_weajEI5Atgw7o-qQs22-OcSNN65A,SHINI 1407,5,1665435507000,285
CNegnEvD0YPrUF2NU786lxyKmrRvlvHZ8YeSgsnQsWmVgg,dwXP0dekPn6ETkyZOqYlbJYGmEUtHtT1S9en4o0ibBkWCgE,PKgx7F_jvS24R-NqZyTH3v6lpDLqrBck9IWuoLgJH7Ew2_O2EGkp7CZDqQvg1QdRT3yO8704FWaZog,SCAL Riiquee,3152,1665534101802,684
a9jUIOSw6QVeaGqGLQquIC6eq0p0QMQ1saRYbW6z9fXdAQ,gDs-aPfn0TfaqMet8_JwGnuTjWnsRpXuIxWlynrFCS2Xsz0,TXrl9AEaXwTZHBQ954TBECov3f7obr9DZiqMkZf_rVoXtM3ar1a2EwMNesUB-P6Ur7CEbmrnwjQZ8A,GPGustavo,5170,1665538473542,645
bCQ_GNteCiYX5TdlFCdip4qKgSEJ4V1fnO_cRJ8gNKXNE0k,3tRjJ7VsA5E1SSRl8_ssG5FZHXXmcTU9jU9H2EIfBBB3vz-CeHvuuUtn,e9gH2-_uL7N2y_gUS93Lw29M1hspDqW89nn1gt7ObBZqvUacAGYPYYartXNZgVz0YJKHsZo8NCTU8Q,pzxvp3,23,1665122742000,52
ooyunBOfP8YA3EbqpK1duSrVq-yLIpBY7GwybTOyzPOKZIA,ACRB2X157r7LJ5tMjrfZBaR4iT4AHK4wpCjB9cAES_EaTIA,IoroZp36ORlaefE-AWfnhjHiUfIKFHeyv4cOPTB5d7UrVpvs9qJYmUn2iNOQoVPjKUUgBEjR4Mi67g,scamber2,20,1665448729000,224
